stock_id,date,close
3022,20260722,90.9
3023,20260722,317.0
3024,20260722,13.2
3025,20260722,57.2
3026,20260722,663.0
3027,20260722,19.95
3028,20260722,67.4
3029,20260722,104.0
3030,20260722,298.5
3031,20260722,25.0
3032,20260722,78.8
3033,20260722,50.2
3034,20260722,501.0
3035,20260722,199.0
3036,20260722,197.5
3037,20260722,907.0
3038,20260722,20.8
3040,20260722,37.15
3041,20260722,24.05
3042,20260722,169.0
3043,20260722,21.2
3044,20260722,417.5
3045,20260722,112.5
3046,20260722,55.5
3047,20260722,15.25
3048,20260722,50.9
3049,20260722,11.3
3050,20260722,11.85
3051,20260722,23.2
3052,20260722,10.7
3054,20260722,55.1
3055,20260722,165.5
3056,20260722,14.85
3057,20260722,16.2
3058,20260722,8.67
3059,20260722,41.45
3060,20260722,30.15
3062,20260722,21.6
3090,20260722,183.0
3092,20260722,24.4
3094,20260722,38.15
3130,20260722,205.0
3135,20260722,153.0
3138,20260722,101.0
3149,20260722,72.8
3150,20260722,17.05
3164,20260722,16.25
3167,20260722,699.0
3168,20260722,43.3
3189,20260722,796.0
3209,20260722,57.2
3229,20260722,42.7
3231,20260722,164.0
3257,20260722,54.2
3266,20260722,13.35
3296,20260722,25.5
3305,20260722,112.0
3308,20260722,20.5
3311,20260722,34.2
3312,20260722,48.9
3321,20260722,19.1
3338,20260722,67.4
3346,20260722,21.6
3356,20260722,57.6
3376,20260722,191.5
3380,20260722,30.8
3406,20260722,529.0
3413,20260722,363.0
3416,20260722,179.5
3419,20260722,12.5
3432,20260722,17.9
3437,20260722,18.45
3443,20260722,4370.0
3447,20260722,30.2
3450,20260722,458.5
3481,20260722,52.5
3494,20260722,7.47
3501,20260722,40.15
3504,20260722,64.4
3515,20260722,209.0
3518,20260722,26.9
3528,20260722,86.3
3530,20260722,59.2
3532,20260722,468.0
3533,20260722,2010.0
3535,20260722,90.0
3543,20260722,28.9
3545,20260722,50.3
3550,20260722,22.85
3557,20260722,26.25
3563,20260722,670.0
3576,20260722,19.45
3583,20260722,767.0
3588,20260722,58.0
3591,20260722,21.25
3592,20260722,236.0
3593,20260722,14.4
3596,20260722,187.5
3605,20260722,92.8
3607,20260722,15.05
3617,20260722,208.5
3622,20260722,53.1
3645,20260722,71.2
3652,20260722,31.6
3653,20260722,3500.0
3661,20260722,3590.0
3665,20260722,2115.0
3669,20260722,36.4
3673,20260722,65.3
3679,20260722,110.0
3686,20260722,15.9
3694,20260722,64.0
3701,20260722,39.75
3702,20260722,118.0
3703,20260722,20.55
3704,20260722,47.15
3705,20260722,54.0
3706,20260722,91.2
3708,20260722,103.0
3711,20260722,656.0
3712,20260722,18.0
3714,20260722,53.8
3715,20260722,125.5
3716,20260722,34.65
3717,20260722,21.85
4104,20260722,70.9
4106,20260722,25.0
4108,20260722,11.65
4119,20260722,49.8
4133,20260722,21.65
4137,20260722,94.7
4142,20260722,17.05
4148,20260722,30.85
4155,20260722,15.85
4164,20260722,27.05
4169,20260722,275.0
4178,20260722,19.55
4190,20260722,26.2
4195,20260722,16.7
4306,20260722,14.55
4414,20260722,8.46
4426,20260722,8.2
4438,20260722,60.7
4439,20260722,101.0
4440,20260722,17.25
4441,20260722,174.0
4526,20260722,32.0
4532,20260722,24.65
4536,20260722,165.5
4540,20260722,53.4
4545,20260722,34.5
4551,20260722,182.0
4552,20260722,19.1
4555,20260722,46.4
4557,20260722,52.3
4560,20260722,31.55
4562,20260722,32.2
4564,20260722,18.7
4566,20260722,68.4
4569,20260722,159.5
4571,20260722,156.0
4572,20260722,144.0
4576,20260722,198.0
4581,20260722,50.3
4582,20260722,28.4
4583,20260722,588.0
4585,20260722,307.0
4588,20260722,52.3
4590,20260722,87.5
4720,20260722,20.4
4722,20260722,222.0
4736,20260722,130.5
4737,20260722,56.3
4739,20260722,83.0
4746,20260722,52.1
4755,20260722,122.5
4763,20260722,50.3
4764,20260722,290.5
4766,20260722,333.0
4770,20260722,227.5
4771,20260722,196.5
4807,20260722,39.95
4904,20260722,103.0
4906,20260722,36.05
4912,20260722,85.9
4915,20260722,66.3
4916,20260722,106.5
4919,20260722,143.0
4927,20260722,36.5
4930,20260722,16.5
4934,20260722,15.8
4935,20260722,35.85
4938,20260722,84.4
4942,20260722,36.7
4943,20260722,8.7
4949,20260722,68.7
4952,20260722,50.3
4956,20260722,30.4
